20240301	11:21:02	 4c181828-ad4f-4bf3-86ef-a34e616d0188	 POST	 http://localhost:5173	 /api/v1/sign-up
20240301	11:21:53	 9aad6466-ba03-4fb4-837c-fb65a8626d5b	 POST	 undefined	 /api/v2/sign-up
20240301	11:22:52	 20fab104-91db-4c73-8c0a-ecdcc641df74	 GET	 http://localhost:5173	 /sign-up
20240301	11:23:22	 02fb0036-ae9a-4cf4-822d-581801e5dae5	 POST	 http://localhost:5173	 /sign-up
20240301	11:24:07	 c95279cf-3393-4e70-af97-1b5425005baa	 POST	 http://localhost:5173	 /sign-up
20240301	11:25:02	 ce002bb4-4862-4f38-b532-8ebf652e1d85	 POST	 http://localhost:5173	 /sign-up
20240301	11:27:02	 89a145de-84a3-4bfc-b59a-f673098ca733	 POST	 undefined	 /api/v1/sign-up
20240301	11:28:15	 43a12c0f-3346-40ff-bee8-4a6e5067b289	 POST	 undefined	 /api/v1/sign-up
20240301	11:30:41	 e058d300-8cb9-4e8d-8003-998b1d1c1ced	 POST	 undefined	 /api/v1/sign-up
20240301	11:36:19	 2b7fb9ab-b818-475e-9c7a-f801a3927b4d	 POST	 undefined	 /api/v1/sign-up
20240301	11:49:24	 e576f273-9161-4c88-b843-628ebb4b1178	 GET	 undefined	 /
20240301	11:51:01	 4430b754-d709-4cbe-bf80-a6fa98beaf99	 GET	 undefined	 /
20240301	11:52:05	 ea1ac94e-1e4c-4f6e-b778-ba522edacab5	 POST	 undefined	 /api/v1/sign-up
20240301	12:06:41	 c887dabd-2a32-4352-880c-a63fa4d1ccf1	 POST	 undefined	 /api/v1/sign-up
20240301	12:12:20	 9754e4dc-f9d5-417b-a41a-501fcc9a0d1d	 POST	 undefined	 /api/v1/sign-up
20240301	12:15:36	 2e9967e1-2dc0-4422-a668-d9bf36f47621	 POST	 undefined	 /api/v1/sign-up
20240301	12:26:49	 1d071c51-d62f-4067-aed3-a9f810959e9c	 POST	 undefined	 /api/v1/sign-up
20240301	12:27:22	 c131370c-0e4f-4062-b90d-0ee261a66c42	 POST	 undefined	 /api/v1/sign-up
